Device designation,Sub-project,Harness Base Number,Conductor/Wire name,Wire Multicore Ref,Wire/Hose/Tube type,Option,Option Text Display,From Device designation,From Pin,To Device designation,To Pin,Wire Level Ref,Signal Name,From Location,To Location,Wire Length
,,,,,,,,PDB-M,B09,F146,M,,SBBE6,HRN-14290-XA,,
,,,,,,,,F7,M,PDB-M,B40,,CBB07,,HRN-14290-XA,
,,,,,,,,R2,6,PDB-M,B24,,CE302,,HRN-14290-XA,
,,,,,,,,F8,M,PDB-M,B41,,CBB08,,HRN-14290-XA,
,,,,,,,,F4,M,PDB-M,A16,,CBB54,,HRN-14290-XA,
,,,,,,,,R1,6,PDB-M,A07,,RE226,,HRN-14290-XA,
,,,,,,,,R1,3,PDB-M,A17,,CE226,,HRN-14290-XA,
,,,,,,,,R1,4,F4,P,,#17644,,,
,,,,,,,,R1,6,PDB-M,A07,,RE226,,HRN-14290-XA,
,,,,,,,,R1,3,PDB-M,A17,,CE226,,HRN-14290-XA,
,,,,,,,,F26,M,PDB-M,A41,,CBB26,,HRN-14290-XA,
,,,,,,,,C2DB04,7,,Open,,VDB31,HRN-14401-NAA,,
,,,,,,,,C2DB04,6,,Open,,VDB32,HRN-14401-NAA,,
,,,,,,,,F5,M,PDB-M,B28,,LE459,,HRN-14290-XA,
,,,,,,,,PDB-M,B34,F97_,M,,CBB97,HRN-14290-XA,,
,,,,,,,,FX10,M,PDB-M,A37,,ZA313,,HRN-14290-XA,
,,,,,,,,,Open,C1BB01L-A,17,,CE226,,HRN-14290-XA,
,,,,,,,,,Open,C1BB01L-A,7,,RE226,,HRN-14290-XA,
,,,,,,,,,Open,C1BB01L-B,36,,CBB99,,HRN-14290-XA,
,,,,,,,,F98,M,PDB-M,B35,,CBB98,,HRN-14290-XA,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,1,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,2,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,3,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,4,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,5,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,6,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,7,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,8,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,9,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,10,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,11,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,12,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,13,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,14,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,15,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,16,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,17,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,18,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,19,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,20,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,21,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,22,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,23,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,24,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,25,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,26,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,27,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,28,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,29,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,30,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,31,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,32,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,33,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,34,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,35,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,36,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,37,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,38,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,39,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,40,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,41,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,42,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,43,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,44,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,45,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,46,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,47,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,48,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,49,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,50,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,51,,,NODE-14305-EAF,,
,,,,,,,,ID TAPE#,1,C11-CGAMF#,52,,,NODE-14305-EAF,,
,,,,,,,,TKO1#,1,R2#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,TKO1#,1,R15#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R2#,1,R3#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R3#,1,R4#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R4#,1,R20#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R20#,1,TKO7#,1,,,NODE-14305-EAF,HRN-14305-EAF,
,,,,,,,,TKO7#,1,R7#,1,,,HRN-14305-EAF,NODE-14305-EAF,
,,,,,,,,TKO7#,1,R6#,1,,,HRN-14305-EAF,NODE-14305-EAF,
,,,,,,,,R7#,1,S1E406-GAM#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R6#,1,R21#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R8#,1,TKO9#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R8#,1,TKO4#,1,,,NODE-14305-EAF,HRN-14305-EAF,
,,,,,,,,S1E406-GAM#,1,TKO9#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,S1E406-GAM#,1,S1E406-GAM#,1,,,NODE-14305-EAF,HRN-14305-EAF,
,,,,,,,,TKO9#,1,N1#,1,,,NODE-14305-EAF,HRN-14305-EAF,
,,,,,,,,N1#,1,R25#,1,,,HRN-14305-EAF,NODE-14305-EAF,
,,,,,,,,R25#,1,R14#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,R14#,1,TKO3#,1,,,NODE-14305-EAF,HRN-14305-EAF,
,,,,,,,,TKO3#,1,R22#,1,,,HRN-14305-EAF,NODE-14305-EAF,
,,,,,,,,R17#,1,R18#,1,,,NODE-14305-EAF,NODE-14305-EAF,
,,,,,,,,TKO4#,1,R9#,1,,,HRN-14305-EAF,NODE-14305-EAF,
,,,,,,,,TKO4#,1,TKO5#,1,,,HRN-14305-EAF,HRN-14305-EAF,
