Sub-project,Harness Base Number,Conductor/Wire name,Wire Multicore Ref,Wire/Hose/Tube type,Option,Option Text Display,Option/Variant,From Location,From Device designation,From Pin,To Location,To Device designation,To Pin,Wire Level,Wire Length,Signal
HRN-13A840-C,14401-YA,CBB13-BC,WireBundle,WIRE-2TAD-2.5:GY/BN,,,,HRN-14401-YA,C21-BLF,23,HRN-14401-YA,C2H102-A,6,,0,RH301
HRN-13A840-C,14401-ZA,32,WireBundle,WIRE-2TAD-2.5:GY/BN,,,,HRN-14401-ZA,C21-BLF,23,HRN-14401-ZA,C2H102-A,6,,0,RH301
HRN-14305-XB,14305-XB,B_GD120-GGA,,WIRE-3TAD-0.50:BK/GN,,,,HRN-14305-XB,S1D120-GGA,1,HRN-14305-XB,C1H302-GGAA,2,XB,365,GD120
HRN-14305-XB,14305-XB,B_GD120-GGAB,,WIRE-3TAD-0.75:BK/GN,,,,HRN-14305-XB,S1D120-GGA,1,HRN-14305-XB,C1E530-GGA,1,XB,575,GD120
HRN-14305-XB,14305-XB,B_GD120ED,,WIRE-3TAD-1.0:BK/GN,,,,HRN-14305-XB,S1D120-GGA,1,HRN-14305-XB,C11-CGABF,52,XB,1165,GD120
HRN-14305-XB,14305-XB,CBB08-GGA,,WIRE-3TAD-0.50:GY/YE,,,,HRN-14305-XB,S1BB08-GGA,1,HRN-14305-XB,C1H302-GGAB,2,XB,855,CBB08
HRN-14305-XB,14305-XB,CBB08-GGAA,,WIRE-3TAD-0.50:GY/YE,,,,HRN-14305-XB,S1BB08-GGA,1,HRN-14305-XB,C1E175-GGA,1,XB,825,CBB08
HRN-14305-XB,14305-XB,CBB08-GGAED,,WIRE-3TAD-0.75:GY/YE,,,,HRN-14305-XB,C11-CGABF,21,HRN-14305-XB,S1BB08-GGA,1,XB,960,CBB08
HRN-14305-XB,14305-XB,CBB08-GGAX,,WIRE-3TAD-0.75:GY/YE,,,,HRN-14305-XB,S1BB08-GGA,1,HRN-14305-XB,C1E530-GGA,2,XB,570,CBB08
HRN-14305-XB,14305-XB,CBB11GAB,,WIRE-3TBD-2.5:BN,,,,HRN-14305-XB,C1DC35-GABB,1,HRN-14305-XB,C11-RGABM,14,XB,1520,CBB11
HRN-14305-XB,14305-XB,CBB12-GGA,,WIRE-3TAD-0.50:GN/WH,,,,HRN-14305-XB,C11-CGABF,22,HRN-14305-XB,C1H302-GGAA,1,XB,1530,CBB12
HRN-14305-XB,14305-XB,CE148-GGA,,WIRE-3TAD-0.50:YE/GY,,,,HRN-14305-XB,C11-CGABF,2,HRN-14305-XB,C1E175-GGA,2,XB,1785,CE148
HRN-14305-XB,14305-XB,CE193-GGA,,WIRE-3TAD-0.50:GY/OG,,,,HRN-14305-XB,C11-CGABF,31,HRN-14305-XB,C1E530-GGA,3,XB,1530,CE193
